Stu Strm Ldesc,Ag Area Sdesc,Cla Subject Ldesc,Cla Catalog Nbr,Cla Class Section,Cla Instructor Name,Official Enrollmt,Grades Received,Grades Pct of Enrolled,gpa,A,A-,B+,B,B- ,C+,C,C- ,D+,D,D- ,"F, F+",W,Cr,Nc,Other
Fall 2016,L&S,History, 600,Course Total,Course Total,23,22,95.7%,2.730,6,3,1,2,1,1,4,,,,,3,,,,1
Fall 2016,L&S,History, 700,001,"Kim-Paik,Nan Y",15,14,93.3%,3.898,9,4,,,,,,,,,,,,,,1
Fall 2016,L&S,History, 700,Course Total,Course Total,15,14,93.3%,3.898,9,4,,,,,,,,,,,,,,1
Fall 2016,L&S,History, 701,101,"Alinder,Jasmine A",8,8,100.0%,4.000,7,,,,,,,,,,,,,,,1
Fall 2016,L&S,History, 701,Course Total,Course Total,8,8,100.0%,4.000,7,,,,,,,,,,,,,,,1
Fall 2016,L&S,History, 713,001,"Austin,Joe A",15,14,93.3%,3.945,10,2,,,,,,,,,,,,,,2
Fall 2016,L&S,History, 713,Course Total,Course Total,15,14,93.3%,3.945,10,2,,,,,,,,,,,,,,2
Fall 2016,L&S,History, 800,001,"Buff,Rachel I",7,7,100.0%,3.333,5,,,,,,,,,,,1,,,,1
Fall 2016,L&S,History, 800,Course Total,Course Total,7,7,100.0%,3.333,5,,,,,,,,,,,1,,,,1
Fall 2016,L&S,History, 840,001,"Filippello,Marcus B",8,8,100.0%,3.500,7,,,,,,,,,,,1,,,,
Fall 2016,L&S,History, 840,Course Total,Course Total,8,8,100.0%,3.500,7,,,,,,,,,,,1,,,,
Fall 2016,L&S,History, 900,201,"Renda,Lex",14,14,100.0%,3.381,3,6,4,,,,,,,,,1,,,,
Fall 2016,L&S,History, 900,Course Total,Course Total,14,14,100.0%,3.381,3,6,4,,,,,,,,,1,,,,
Fall 2016,L&S,History, 940,001,"Wiesner-Hanks,Merry E",16,16,100.0%,3.896,14,,1,1,,,,,,,,,,,,
Fall 2016,L&S,History, 940,Course Total,Course Total,16,16,100.0%,3.896,14,,1,1,,,,,,,,,,,,
Fall 2016,L&S,Hmong Studies, 107,001,"Thao,Gwaub T",21,20,95.2%,3.551,8,5,3,3,,,,1,,,,,1,,,
Fall 2016,L&S,Hmong Studies, 107,Course Total,Course Total,21,20,95.2%,3.551,8,5,3,3,,,,1,,,,,1,,,
Fall 2016,L&S,Hmong Studies, 265,001,"Hernandez,Kimberly L",13,13,100.0%,3.565,4,4,3,1,1,,,,,,,,,,,
Fall 2016,L&S,Hmong Studies, 265,Course Total,Course Total,13,13,100.0%,3.565,4,4,3,1,1,,,,,,,,,,,
Fall 2016,L&S,Honors College, 200,001,"Singer,Alan H",16,16,100.0%,3.729,8,4,3,1,,,,,,,,,,,,
Fall 2016,L&S,Honors College, 200,002,"Stuhmiller,Jacqueline A",15,15,100.0%,3.201,4,7,,1,,1,,,,1,,1,,,,
Fall 2016,L&S,Honors College, 200,003,"Equitz,Lydia M",15,15,100.0%,3.577,8,2,3,1,,,,,1,,,,,,,
Fall 2016,L&S,Honors College, 200,004,"Singer,Alan H",15,15,100.0%,3.802,6,9,,,,,,,,,,,,,,
Fall 2016,L&S,Honors College, 200,005,"Snow,Hilary K",16,15,93.8%,3.334,4,4,3,1,1,,1,1,,,,,1,,,
Fall 2016,L&S,Honors College, 200,006,"Daigle,Lindsay R",15,14,93.3%,3.881,10,3,1,,,,,,,,,,,,,
Fall 2016,L&S,Honors College, 200,007,"Daigle,Lindsay R",16,15,93.8%,3.757,10,3,,,2,,,,,,,,1,,,
Fall 2016,L&S,Honors College, 200,008,"Marks,Brian D",16,15,93.8%,3.733,7,4,4,,,,,,,,,,,,,
Fall 2016,L&S,Honors College, 200,009,"Southward,David M",16,15,93.8%,3.735,6,7,1,1,,,,,,,,,1,,,
Fall 2016,L&S,Honors College, 200,010,"Snow,Hilary K",15,13,86.7%,3.541,2,9,1,,,,,1,,,,,2,,,
Fall 2016,L&S,Honors College, 200,011,"Haumschild,Daniel T",15,15,100.0%,3.823,10,3,1,1,,,,,,,,,,,,
Fall 2016,L&S,Honors College, 200,012,"Stuhmiller,Jacqueline A",15,15,100.0%,3.622,6,3,4,2,,,,,,,,,,,,
Fall 2016,L&S,Honors College, 200,013,"Equitz,Lydia M",15,15,100.0%,3.757,6,7,2,,,,,,,,,,,,,
Fall 2016,L&S,Honors College, 200,015,"Stuhmiller,Jacqueline A",16,16,100.0%,3.772,7,7,2,,,,,,,,,,,,,
Fall 2016,L&S,Honors College, 200,016,"Haumschild,Daniel T",15,14,93.3%,4.000,14,,,,,,,,,,,,,,,
Fall 2016,L&S,Honors College, 200,017,"Schneider,Benjamin A",16,16,100.0%,3.584,5,6,3,1,,1,,,,,,,,,,
Fall 2016,L&S,Honors College, 200,018,"Southward,David M",15,15,100.0%,3.757,5,9,1,,,,,,,,,,,,,
Fall 2016,L&S,Honors College, 200,Course Total,Course Total,262,254,96.9%,3.682,118,87,29,9,3,2,1,2,1,1,,1,5,,,
Fall 2016,L&S,Honors College, 350,001,"Brusin,David",16,15,93.8%,4.000,15,,,,,,,,,,,,1,,,
Fall 2016,L&S,Honors College, 350,Course Total,Course Total,16,15,93.8%,4.000,15,,,,,,,,,,,,1,,,
Fall 2016,L&S,Honors College, 351,001,"Singer,Alan H",16,16,100.0%,3.793,9,5,1,1,,,,,,,,,,,,
Fall 2016,L&S,Honors College, 351,002,"Snow,Hilary K",15,15,100.0%,3.646,3,9,2,1,,,,,,,,,,,,
Fall 2016,L&S,Honors College, 351,003,"Southward,David M",13,12,92.3%,3.723,4,6,2,,,,,,,,,,,,,
Fall 2016,L&S,Honors College, 351,Course Total,Course Total,44,43,97.7%,3.722,16,20,5,2,,,,,,,,,,,,
