Stu Strm Ldesc,Ag Area Sdesc,Cla Subject Ldesc,Cla Catalog Nbr,Cla Class Section,Cla Instructor Name,Official Enrollmt,Grades Received,Grades Pct of Enrolled,gpa,A,A-,B+,B,B- ,C+,C,C- ,D+,D,D- ,"F, F+",W,Cr,Nc,Other
Fall 2016,Arts,Dance, 311,Course Total,Course Total,7,7,100.0%,3.600,3,1,1,2,,,,,,,,,,,,
Fall 2016,Arts,Dance, 314,001,"Loewen,Debra G",12,11,91.7%,3.425,3,2,3,1,2,,,,,,,,1,,,
Fall 2016,Arts,Dance, 314,Course Total,Course Total,12,11,91.7%,3.425,3,2,3,1,2,,,,,,,,1,,,
Fall 2016,Arts,Dance, 317,801,"Gillespie,Maria S",10,10,100.0%,3.801,5,4,1,,,,,,,,,,,,,
Fall 2016,Arts,Dance, 317,Course Total,Course Total,10,10,100.0%,3.801,5,4,1,,,,,,,,,,,,,
Fall 2016,Arts,Dance, 318,801,"Gillespie,Maria S",9,9,100.0%,3.600,6,1,,,,1,1,,,,,,,,,
Fall 2016,Arts,Dance, 318,Course Total,Course Total,9,9,100.0%,3.600,6,1,,,,1,1,,,,,,,,,
Fall 2016,Arts,Dance, 321,801,"Ventura,Matthew R",9,9,100.0%,3.556,8,,,,,,,,,,,1,,,,
Fall 2016,Arts,Dance, 321,802,"Ventura,Matthew R",17,17,100.0%,3.981,16,1,,,,,,,,,,,,,,
Fall 2016,Arts,Dance, 321,Course Total,Course Total,26,26,100.0%,3.833,24,1,,,,,,,,,,1,,,,
Fall 2016,Arts,Dance, 323,801,"Moberly,Lisa C",10,10,100.0%,3.834,6,3,1,,,,,,,,,,,,,
Fall 2016,Arts,Dance, 323,Course Total,Course Total,10,10,100.0%,3.834,6,3,1,,,,,,,,,,,,,
Fall 2016,Arts,Dance, 350,001,"Gillespie,Maria S",16,16,100.0%,,,,,,,,,,,,,,,,,16
Fall 2016,Arts,Dance, 350,Course Total,Course Total,16,16,100.0%,,,,,,,,,,,,,,,,,16
Fall 2016,Arts,Dance, 370,804,"World Heil,Kris L",20,19,95.0%,3.316,11,,,5,,,1,,,2,,,1,,,
Fall 2016,Arts,Dance, 370,805,"Hernandez,Joseph Michael",21,19,90.5%,3.509,13,,,3,,,2,1,,,,,2,,,
Fall 2016,Arts,Dance, 370,807,"Hernandez,Joseph Michael",10,9,90.0%,3.222,4,,1,3,,,,,,,1,,1,,,
Fall 2016,Arts,Dance, 370,Course Total,Course Total,51,47,92.2%,3.376,28,,1,11,,,3,1,,2,1,,4,,,
Fall 2016,Arts,Dance, 412,801,"Burkholder,Daniel D",12,12,100.0%,3.695,7,3,,1,,1,,,,,,,,,,
Fall 2016,Arts,Dance, 412,Course Total,Course Total,12,12,100.0%,3.695,7,3,,1,,1,,,,,,,,,,
Fall 2016,Arts,Dance, 413,801,"Gillespie,Maria S",13,13,100.0%,3.770,8,3,,2,,,,,,,,,,,,
Fall 2016,Arts,Dance, 413,Course Total,Course Total,13,13,100.0%,3.770,8,3,,2,,,,,,,,,,,,
Fall 2016,Arts,Dance, 427,001,"Wutz,Darci L",12,12,100.0%,3.444,4,3,3,1,,,,,1,,,,,,,
Fall 2016,Arts,Dance, 427,Course Total,Course Total,12,12,100.0%,3.444,4,3,3,1,,,,,1,,,,,,,
Fall 2016,Arts,Dance, 460,001,"Parsons,Marcia R",18,18,100.0%,3.686,13,1,,2,1,,1,,,,,,,,,
Fall 2016,Arts,Dance, 460,Course Total,Course Total,18,18,100.0%,3.686,13,1,,2,1,,1,,,,,,,,,
Fall 2016,Arts,Dance, 490,801,"Schuchart,Dan S",7,7,100.0%,4.000,7,,,,,,,,,,,,,,,
Fall 2016,Arts,Dance, 490,802,"Linhares Ferro,Simone",10,9,90.0%,,,,,,,,,,,,,,,,,9
Fall 2016,Arts,Dance, 490,804,"Wutz,Darci L",10,10,100.0%,2.670,,,,,1,,,,,,,,,,,9
Fall 2016,Arts,Dance, 490,Course Total,Course Total,27,26,96.3%,3.834,7,,,,1,,,,,,,,,,,18
Fall 2016,Arts,Dance, 601,001,"Linhares Ferro,Simone",11,11,100.0%,3.852,7,1,,1,,,,,,,,,,,,2
Fall 2016,Arts,Dance, 601,Course Total,Course Total,11,11,100.0%,3.852,7,1,,1,,,,,,,,,,,,2
Fall 2016,Arts,Dance, 761,101,"Parsons,Marcia R",11,10,90.9%,4.000,10,,,,,,,,,,,,1,,,
Fall 2016,Arts,Dance, 761,Course Total,Course Total,11,10,90.9%,4.000,10,,,,,,,,,,,,1,,,
Fall 2016,Arts,Dance, 801,901,"Gillespie,Maria S",9,8,88.9%,4.000,8,,,,,,,,,,,,1,,,
Fall 2016,Arts,Dance, 801,Course Total,Course Total,9,8,88.9%,4.000,8,,,,,,,,,,,,1,,,
Fall 2016,Arts,Dance, 802,901,"Burkholder,Daniel D",7,7,100.0%,3.716,3,3,,1,,,,,,,,,,,,
Fall 2016,Arts,Dance, 802,Course Total,Course Total,7,7,100.0%,3.716,3,3,,1,,,,,,,,,,,,
Fall 2016,Arts,Dance, 889,902,"Russell,Timothy James",10,10,100.0%,4.000,10,,,,,,,,,,,,,,,
Fall 2016,Arts,Dance, 889,Course Total,Course Total,10,10,100.0%,4.000,10,,,,,,,,,,,,,,,
Fall 2016,Arts,"Film, Video, Anim & New Genres", 114,401,"Felker,Lori A",80,75,93.8%,3.440,45,5,9,5,,2,1,3,1,1,1,2,1,,,
Fall 2016,Arts,"Film, Video, Anim & New Genres", 114,402,"Balcom,Benjamin Risley",81,78,96.3%,2.770,19,11,10,8,8,2,4,3,1,2,,10,,,,
Fall 2016,Arts,"Film, Video, Anim & New Genres", 114,Course Total,Course Total,161,153,95.0%,3.098,64,16,19,13,8,4,5,6,2,3,1,12,1,,,
Fall 2016,Arts,"Film, Video, Anim & New Genres", 116,401,"Wetzel,Stephen M",82,79,96.3%,2.861,15,12,13,13,5,3,4,3,3,1,2,5,1,,,
Fall 2016,Arts,"Film, Video, Anim & New Genres", 116,402,"Kirshtner,Kelly V",54,53,98.1%,2.598,4,6,2,16,8,6,4,1,,,,6,,,,
Fall 2016,Arts,"Film, Video, Anim & New Genres", 116,Course Total,Course Total,136,132,97.1%,2.755,19,18,15,29,13,9,8,4,3,1,2,11,1,,,
Fall 2016,Arts,"Film, Video, Anim & New Genres", 117,801,"Coyle,Lilly Czarnecki",20,20,100.0%,2.934,2,4,3,5,1,2,1,1,,,,1,,,,
Fall 2016,Arts,"Film, Video, Anim & New Genres", 117,802,"Wilkins,Timoleon Arthur",21,20,95.2%,3.223,2,6,5,2,2,,,,,,,1,,,,2
Fall 2016,Arts,"Film, Video, Anim & New Genres", 117,803,"Britton,Andrew Gregory",21,20,95.2%,2.734,1,3,4,4,3,,2,,1,1,,1,1,,,
Fall 2016,Arts,"Film, Video, Anim & New Genres", 117,804,"Balcom,Benjamin Risley",19,18,94.7%,2.242,3,3,1,2,1,,1,2,,,,5,,,,
Fall 2016,Arts,"Film, Video, Anim & New Genres", 117,805,"Torinus,Alexandra L",21,21,100.0%,3.174,4,4,7,4,,,,,,,1,1,,,,
Fall 2016,Arts,"Film, Video, Anim & New Genres", 117,806,"McGuire,Brian James",21,21,100.0%,3.208,1,8,1,6,3,2,,,,,,,,,,
Fall 2016,Arts,"Film, Video, Anim & New Genres", 117,807,"McGuire,Brian James",20,20,100.0%,2.885,,8,3,2,1,2,1,1,,,2,,,,,
Fall 2016,Arts,"Film, Video, Anim & New Genres", 117,808,"Bunker,Tate J",9,8,88.9%,3.416,4,,1,1,1,1,,,,,,,,,,
Fall 2016,Arts,"Film, Video, Anim & New Genres", 117,Course Total,Course Total,152,148,97.4%,2.950,17,36,25,26,12,7,5,4,1,1,3,9,1,,,2
Fall 2016,Arts,"Film, Video, Anim & New Genres", 150,002,"Cobb,Portia E",17,14,82.4%,3.357,9,,,3,,,1,,,,,1,2,,,
Fall 2016,Arts,"Film, Video, Anim & New Genres", 150,003,"Umali,Renato G",22,22,100.0%,3.485,9,3,3,6,,,,1,,,,,,,,
Fall 2016,Arts,"Film, Video, Anim & New Genres", 150,004,"Cobb,Portia E",12,10,83.3%,2.400,2,,1,1,2,1,1,,,,,2,2,,,
Fall 2016,Arts,"Film, Video, Anim & New Genres", 150,Course Total,Course Total,51,46,90.2%,3.210,20,3,4,10,2,1,2,1,,,,3,4,,,
Fall 2016,Arts,"Film, Video, Anim & New Genres", 202,001,"Bogner,Carl E",60,58,96.7%,3.316,16,8,16,8,5,1,3,,,,,1,1,,,
Fall 2016,Arts,"Film, Video, Anim & New Genres", 202,002,"Bogner,Carl E",39,36,92.3%,2.778,6,5,6,8,1,2,1,1,2,,,4,,,,
Fall 2016,Arts,"Film, Video, Anim & New Genres", 202,Course Total,Course Total,99,94,94.9%,3.110,22,13,22,16,6,3,4,1,2,,,5,1,,,
Fall 2016,Arts,"Film, Video, Anim & New Genres", 203,291,"Thiele,Brooke Ruthann",13,12,92.3%,2.667,2,3,,2,,3,,,,,,2,,,,
Fall 2016,Arts,"Film, Video, Anim & New Genres", 203,901,"Gravander,Neil Brian",12,10,83.3%,3.034,1,1,2,3,2,,,1,,,,,1,,,
Fall 2016,Arts,"Film, Video, Anim & New Genres", 203,903,"Kurz,Jeffrey Paul",12,12,100.0%,3.140,,4,2,3,2,,1,,,,,,,,,
Fall 2016,Arts,"Film, Video, Anim & New Genres", 203,904,"Decker,Timothy W",8,7,87.5%,3.286,,3,2,1,,1,,,,,,,,,,
Fall 2016,Arts,"Film, Video, Anim & New Genres", 203,905,"Bunker,Tate J",6,6,100.0%,3.223,2,,,2,2,,,,,,,,,,,
Fall 2016,Arts,"Film, Video, Anim & New Genres", 203,906,"Bunker,Tate J",12,11,91.7%,3.212,1,2,3,3,1,1,,,,,,,1,,,
Fall 2016,Arts,"Film, Video, Anim & New Genres", 203,907,"Cobb,Portia E",9,9,100.0%,2.667,2,,1,2,1,,2,,,,,1,,,,
Fall 2016,Arts,"Film, Video, Anim & New Genres", 203,913,"Umali,Renato G",6,6,100.0%,2.833,3,,1,,,,,1,,,,1,,,,
Fall 2016,Arts,"Film, Video, Anim & New Genres", 203,Course Total,Course Total,78,73,93.6%,2.996,11,13,11,16,8,5,3,2,,,,4,2,,,
Fall 2016,Arts,"Film, Video, Anim & New Genres", 220,801,"Yeo,Robert H",16,16,100.0%,2.479,1,1,2,2,3,2,2,1,,1,,1,,,,
Fall 2016,Arts,"Film, Video, Anim & New Genres", 220,802,"Coyle,Lilly Czarnecki",20,19,95.0%,2.755,1,1,2,5,5,2,2,,,1,,,,,,
Fall 2016,Arts,"Film, Video, Anim & New Genres", 220,Course Total,Course Total,36,35,97.2%,2.629,2,2,4,7,8,4,4,1,,2,,1,,,,
Fall 2016,Arts,"Film, Video, Anim & New Genres", 222,005,"Balcom,Benjamin Risley",18,17,94.4%,2.431,3,1,3,2,2,1,1,,,,,4,,,,
Fall 2016,Arts,"Film, Video, Anim & New Genres", 222,006,"Condit,Cecelia A",15,15,100.0%,3.001,3,2,1,4,3,1,,,,,,1,,,,
Fall 2016,Arts,"Film, Video, Anim & New Genres", 222,007,"Torinus,Alexandra L",8,8,100.0%,2.709,2,,1,2,,,1,1,,,1,,,,,
Fall 2016,Arts,"Film, Video, Anim & New Genres", 222,Course Total,Course Total,41,40,97.6%,2.700,8,3,5,8,5,2,2,1,,,1,5,,,,
Fall 2016,Arts,"Film, Video, Anim & New Genres", 232,801,"Thiele,Brooke Ruthann",23,23,100.0%,2.972,8,4,2,2,2,,1,,,1,1,2,,,,
Fall 2016,Arts,"Film, Video, Anim & New Genres", 232,Course Total,Course Total,23,23,100.0%,2.972,8,4,2,2,2,,1,,,1,1,2,,,,
Fall 2016,Arts,"Film, Video, Anim & New Genres", 234,291,"Frederick,Ericka",20,16,80.0%,1.667,1,,,4,,,4,,,1,,5,1,,,1
Fall 2016,Arts,"Film, Video, Anim & New Genres", 234,Course Total,Course Total,20,16,80.0%,1.667,1,,,4,,,4,,,1,,5,1,,,1
Fall 2016,Arts,"Film, Video, Anim & New Genres", 255,291,"Umali,Renato G",16,15,93.8%,2.245,4,1,,1,,1,3,1,,1,,3,1,,,
Fall 2016,Arts,"Film, Video, Anim & New Genres", 255,Course Total,Course Total,16,15,93.8%,2.245,4,1,,1,,1,3,1,,1,,3,1,,,
Fall 2016,Arts,"Film, Video, Anim & New Genres", 301,001,"Hamalian,Hannah Raye White",22,19,86.4%,2.908,2,2,3,4,2,1,2,2,,,,,1,,1,
Fall 2016,Arts,"Film, Video, Anim & New Genres", 301,002,"Dudek,Duane A",16,14,87.5%,2.889,2,1,1,2,2,2,1,1,,,,,1,,,2
Fall 2016,Arts,"Film, Video, Anim & New Genres", 301,005,"Witzling,David R",15,12,80.0%,3.028,1,2,3,4,,,1,,,1,,,1,,,
Fall 2016,Arts,"Film, Video, Anim & New Genres", 301,291,"Felker,Lori A",9,9,100.0%,2.963,5,,1,,1,,,,,,1,1,,,,
Fall 2016,Arts,"Film, Video, Anim & New Genres", 301,Course Total,Course Total,62,54,87.1%,2.941,10,5,8,10,5,3,4,3,,1,1,1,3,,1,2
